ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.52091,6.489856,4.611072,4.58893,15.98894,0.2757455,3.105011,0.5810062,,ACCELERATE
-1,6.52091,6.489855,4.611072,4.58893,15.98894,0.2757455,3.105011,0.5884701,,ACCELERATE
-1,6.520905,6.489857,4.611071,4.588931,15.98894,0.2757454,3.105011,0.594108,,ACCELERATE
-1,6.52091,6.489856,4.611072,4.58893,15.98894,0.2757454,3.105011,0.6002621,,ACCELERATE
-1,6.520906,6.489858,4.611071,4.588931,15.98894,0.2757453,3.105011,0.6075732,,ACCELERATE
-1,6.520905,6.489857,4.611071,4.588931,15.98894,0.2757451,3.105011,0.6162322,,ACCELERATE
-1,6.520906,6.489857,4.61107,4.588932,15.98894,0.2757448,3.105011,0.6227294,,ACCELERATE
-1,6.520907,6.489858,4.61107,4.588932,15.98894,0.2757447,3.105011,0.6287472,,ACCELERATE
-1,6.520902,6.489859,4.611069,4.588933,15.98894,0.2757448,3.105011,0.6348893,,ACCELERATE
-1,6.520907,6.489859,4.61107,4.588932,15.98894,0.275745,3.105011,0.6414121,,ACCELERATE
-1,6.520902,6.489859,4.611069,4.588933,15.98894,0.2757449,3.105011,0.6511038,,ACCELERATE
-1,6.520903,6.48986,4.611068,4.588933,15.98894,0.2757448,3.105011,0.6575323,,ACCELERATE
-1,6.520904,6.489861,4.611068,4.588933,15.98894,0.2757446,3.105011,0.6634837,,ACCELERATE
-1,6.520904,6.489861,4.611068,4.588933,15.98894,0.2757446,3.105011,0.6706667,,ACCELERATE
-1,6.520904,6.489861,4.611068,4.588933,15.98894,0.2757445,3.105011,0.6758374,,ACCELERATE
-1,6.520904,6.489861,4.611068,4.588933,15.98894,0.2757447,3.105011,0.6847279,,ACCELERATE
-1,6.5209,6.489862,4.611067,4.588934,15.98894,0.2757446,3.105011,0.6908807,,ACCELERATE
-1,6.5209,6.489862,4.611067,4.588934,15.98894,0.2757444,3.105011,0.6962411,,ACCELERATE
-1,6.520902,6.489863,4.611066,4.588935,15.98894,0.2757443,3.105011,0.7028635,,ACCELERATE
-1,6.520902,6.489863,4.611066,4.588935,15.98894,0.2757442,3.105011,0.7084068,,ACCELERATE
-1,6.520902,6.489863,4.611066,4.588935,15.98894,0.2757441,3.105011,0.7171894,,ACCELERATE
-1,6.520897,6.489865,4.611065,4.588936,15.98894,0.275744,3.105011,0.7232975,,ACCELERATE
-1,6.520897,6.489865,4.611065,4.588936,15.98895,0.2757439,3.105011,0.7291631,,ACCELERATE
-1,6.520899,6.489866,4.611064,4.588937,15.98895,0.2757438,3.105011,0.7359936,,ACCELERATE
-1,6.520899,6.489866,4.611064,4.588937,15.98895,0.2757438,3.105011,0.7419196,,ACCELERATE
-1,6.520894,6.489867,4.611063,4.588938,15.98895,0.2757437,3.105011,0.7508391,,ACCELERATE
-1,6.520899,6.489866,4.611064,4.588937,15.98895,0.2757438,3.105011,0.757314,,ACCELERATE
-1,6.520894,6.489867,4.611063,4.588938,15.98895,0.275744,3.105011,0.7628798,,ACCELERATE
-1,6.520894,6.489867,4.611063,4.588938,15.98895,0.2757439,3.105011,0.7700211,,ACCELERATE
-1,6.520896,6.489869,4.611062,4.588939,15.98895,0.2757439,3.105011,0.7749915,,ACCELERATE
-1,6.520896,6.489869,4.611062,4.588939,15.98895,0.2757437,3.105011,0.7838259,,ACCELERATE
-1,6.520896,6.489869,4.611062,4.588939,15.98895,0.2757437,3.105011,0.7906479,,ACCELERATE
-1,6.520896,6.489869,4.611062,4.588939,15.98895,0.2757436,3.105011,0.7970386,,ACCELERATE
-1,6.520892,6.48987,4.611061,4.58894,15.98895,0.2757435,3.105011,0.8050025,,ACCELERATE
-1,6.520893,6.489871,4.611061,4.58894,15.98895,0.2757435,3.105011,0.8135788,,ACCELERATE
-1,6.520892,6.48987,4.611061,4.58894,15.98895,0.2757434,3.105011,0.8211223,,ACCELERATE
-1,6.520894,6.489872,4.61106,4.588941,15.98895,0.2757434,3.105011,0.8280438,,ACCELERATE
-1,6.520894,6.489872,4.61106,4.588941,15.98895,0.2757433,3.105011,0.8360161,,ACCELERATE
-1,6.520889,6.489873,4.611059,4.588942,15.98895,0.2757433,3.105011,0.842399,,ACCELERATE
-1,6.520889,6.489873,4.611059,4.588942,15.98895,0.2757432,3.105011,0.8529576,,ACCELERATE
-1,6.520891,6.489874,4.611058,4.588943,15.98895,0.2757432,3.105011,0.8590889,,ACCELERATE
-1,6.520891,6.489874,4.611058,4.588943,15.98895,0.2757432,3.105011,0.8665886,,ACCELERATE
-1,6.520891,6.489874,4.611058,4.588943,15.98895,0.2757432,3.105011,0.8735903,,ACCELERATE
-1,6.520886,6.489875,4.611057,4.588944,15.98895,0.2757432,3.105011,0.8828807,,ACCELERATE
-1,6.520888,6.489877,4.611056,4.588945,15.98895,0.2757432,3.105011,0.8905073,,ACCELERATE
-1,6.520888,6.489877,4.611056,4.588945,15.98895,0.2757431,3.105011,0.8965564,,ACCELERATE
-1,6.520888,6.489877,4.611056,4.588945,15.98895,0.2757432,3.105011,0.9038621,,ACCELERATE
-1,6.520884,6.489878,4.611055,4.588946,15.98895,0.2757432,3.105011,0.9122657,,ACCELERATE
-1,6.520888,6.489877,4.611056,4.588945,15.98895,0.2757432,3.105011,0.9199153,,ACCELERATE
-1,6.520884,6.489878,4.611055,4.588946,15.98895,0.2757432,3.105011,0.926856,,ACCELERATE
-1,6.520885,6.48988,4.611054,4.588947,15.98895,0.2757432,3.105011,0.9362164,,ACCELERATE
-1,6.520885,6.48988,4.611054,4.588947,15.98896,0.2757431,3.105011,0.9436468,,ACCELERATE
-1,6.520881,6.489881,4.611053,4.588948,15.98896,0.2757431,3.105011,0.9543949,,ACCELERATE
-1,6.520881,6.489881,4.611053,4.588948,15.98896,0.2757431,3.105011,0.9622115,,ACCELERATE
-1,6.520881,6.489881,4.611053,4.588948,15.98896,0.2757432,3.105011,0.9731795,,ACCELERATE
-1,6.520883,6.489882,4.611053,4.588949,15.98896,0.2757432,3.105011,0.9832789,,ACCELERATE
